State,Year,population_state_total,population_ages_5–17,number_of_operating_public_schools_district,public_school_enrollment,average_daily_attendance_in_public_schools,number_of_public_high_school_graduates,total_instructional_staff_in_public_schools,number_of_teachers_in_public_schools,percentage_of_public_school_teachers_who_are_men,average_salaries_of_public_school_teachers,average_salaries_of_instructional_staff_in_public_schools,percentage_change_in_average_instructional_staff_salaries,per_capita_personal_income,percentage_change_in_per_capita_personal_income,personal_income_per_student_in_fall_enrollment,personal_income_per_student_in_average_daily_attendance,public_school_revenue_per_student_in_fall_enrollment,public_school_revenue_per_student_in_average_daily_attendance,per_capita_general_expenditures_of_state_governments_for_all_functions,per_capita_expenditures_of_state_local_governments_for_public_welfare,per_capita_expenditures_of_state_local_governments_for_health_hospitals,per_capita_expenditures_of_state_local_governments_for_police_fire_protection,per_capita_expenditures_of_state_local_governments_for_all_education,current_expenditures_for_public_schools_per_student_in_fall_enrollment
NEW MEXICO,2004,1903,359,89,324924,261239,17353,25724,21716,25.2,39391,41071,1.4,26154,NA,154275,171417,9287,11551,NA,NA,NA,NA,NA,8178
NEW MEXICO,2005,NA,NA,89,326859,294173,17307,26593,21983,24.8,41637,41637,NA,NA,NA,NA,NA,9532,10591,NA,NA,NA,NA,NA,8622
NEW MEXICO,2007,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,7265,1852,629,434,2533,NA
NEW MEXICO,2008,1987,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,33584,-3.5,203726,211124,NA,NA,7718,1977,708,418,2599,NA
NEW MEXICO,2009,2010,358,89,326558,301514,18545,25208,21907,25.4,46258,48647,-1.1,32394,2.3,201418,212264,12132,13140,7718,2182,1025,474,2680,10812
NEW MEXICO,2010,2059,285,89,334465,323130,19843,23870,21263,25.3,46888,48132,-0.7,32940,4.9,205502,216568,10957,10957,7489,2127,800,450,2712,10415
NEW MEXICO,2011,2082,368,89,333643,320891,19812,23832,21352,24.8,45622,47799,-0.4,34782,3,216167,223750,11133,11575,7111,1941,809,457,2559,10203
NEW MEXICO,2012,2084,371,89,334138,329159,20204,24532,22229,24.9,45453,47630,0.4,35805,201418,223597,232483,10898,11063,1977,708,418,2599,10415,11019
NEW MEXICO,2013,NA,89,89,334841,314650,18816,24733,22226,25,45727,47826,32394,-3.5,NA,212264,10957,11117,11831,NA,NA,NA,NA,NA,10089
NEW YORK,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,NA,NA,NA,NA,5045,1699,680,479,2494,NA
NEW YORK,2002,19134,3385,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,35330,1.7,238278,247988,NA,NA,5300,1854,718,502,2596,NA
NEW YORK,2003,19212,3318,701,2826116,2807149,152000,245755,224005,24.6,55181,56000,2.3,35933,6.7,243754,249408,13623,13715,5614,2101,724,487,2679,12325
NEW YORK,2004,19281,3326,698,2822000,2847423,156000,244800,223000,23.9,56200,57300,2.3,38333,NA,260796,281272,13997,13872,NA,NA,NA,NA,NA,12879
NEW YORK,2005,NA,NA,698,2815504,2619083,158603,250280,228903,23.6,57354,58630,NA,NA,NA,NA,NA,14685,15786,NA,NA,NA,NA,NA,13551
NEW YORK,2007,19298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,6579,2255,876,572,2040,NA
NEW YORK,2008,19468,3200,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,48107,-2.9,343769,358306,NA,NA,6854,2276,924,423,2163,NA
NEW YORK,2009,19541,3201,695,2667369,3045771,176532,238815,226123,24.5,71633,73148,0.1,46699,5.1,334685,299921,17913,15687,7121,2528,396,616,2018,16922
NEW YORK,2010,19378,2375,695,2642524,3085515,181223,236427,223862,24.5,72708,73192,2.4,49119,4.8,357158,312786,18691,18691,7505,2589,1122,631,2694,17750
NEW YORK,2011,19465,3385,695,2617556,3125257,185329,218432,206000,24.5,73398,74944,2.6,51914,4.2,383121,328116,19513,16343,7368,2603,1137,649,2146,18616
NEW YORK,2012,19576,3096,695,2589670,3164959,189484,228334,215678,24.5,75279,76865,2.6,54099,334685,404596,338869,20376,16672,2276,924,423,2163,17750,19523
NEW YORK,2013,NA,695,695,2564711,3204649,193992,213139,200503,24.5,76409,78835,46699,-2.9,NA,299921,18691,21225,16987,NA,NA,NA,NA,NA,20428
NORTH CAROLINA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,3556,922,733,250,1837,NA
NORTH CAROLINA,2002,8306,1484,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,27640,1.3,169815,187436,NA,NA,3613,997,766,260,1894,NA
NORTH CAROLINA,2003,8421,1497,117,1377014,1244096,70845,101387,87947,19.8,43211,43211,0.3,27852,5.2,180164,188808,6842,7573,3865,1004,697,263,2019,6786
NORTH CAROLINA,2004,8540,1518,115,1345101,1266245,74224,104535,90657,20,43348,43348,1.3,29303,NA,189103,201179,7409,7871,NA,NA,NA,NA,NA,7392
NORTH CAROLINA,2005,NA,NA,115,1376530,1294132,76940,108464,94129,20,43922,43922,NA,NA,NA,NA,NA,7698,8188,NA,NA,NA,NA,NA,7675
NORTH CAROLINA,2007,9061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,NA,4535,1136,828,336,1891,NA
NORTH CAROLINA,2008,9247,1591,NA,NA,NA,NA,NA,NA,NA,NA,NA,–3.3,35533,-4,231391,246227,NA,NA,4510,1175,904,425,1922,NA
NORTH CAROLINA,2009,9381,1613,115,1416161,1329894,88698,111004,95377,20.1,46850,46850,-0.5,34108,1.8,225906,240400,8883,9459,4511,1173,367,351,1955,8529
NORTH CAROLINA,2010,9535,1267,115,1424536,1338471,91726,110181,94879,20,46605,46605,-1.6,34604,3,233432,248761,8763,8763,4591,1179,1048,345,2649,8572
NORTH CAROLINA,2011,9656,1484,115,1430007,1347103,94527,108869,93964,20.2,45947,45947,-0.4,36520,5.6,247417,263327,9153,9717,4699,1301,1118,388,2010,8492
NORTH CAROLINA,2012,9748,1667,115,1488150,1400981,95268,114158,98349,20.1,45737,45737,-1.6,38538,225906,262714,278882,8780,9326,1175,904,425,1922,8572,8363
NORTH CAROLINA,2013,NA,115,115,1441447,1368650,96019,110609,95116,20.1,44990,44990,34108,-4,NA,240400,8763,8991,9469,NA,NA,NA,NA,NA,8632
NORTH DAKOTA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,4436,1047,164,163,2068,NA
NORTH DAKOTA,2002,634,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,26742,8.6,161086,169443,NA,NA,4577,1149,173,172,2165,NA
NORTH DAKOTA,2003,633,110,211,101137,95032,8149,8856,7662,27.3,35441,35889,3.1,28725,1.8,176618,186751,8379,8917,4677,1130,182,180,2398,6683
NORTH DAKOTA,2004,636,103,206,99324,91466,7503,8930,7704,26.9,36695,37915,3,29247,NA,183444,199013,9029,9805,NA,NA,NA,NA,NA,7377
NORTH DAKOTA,2005,NA,NA,198,97120,89644,7297,8853,7607,26.5,37764,39065,NA,NA,NA,NA,NA,9594,10394,NA,NA,NA,NA,NA,7807
NORTH DAKOTA,2007,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,5912,1264,157,257,2068,NA
NORTH DAKOTA,2008,641,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,41493,-4.5,282963,302333,NA,NA,6290,1324,169,426,2120,NA
NORTH DAKOTA,2009,647,101,183,93715,85967,6933,9015,7772,25.4,42964,44478,4.6,39644,7.8,282258,296533,11743,12801,6967,1299,905,267,2623,8541
NORTH DAKOTA,2010,673,80,182,94729,85260,7384,9295,8022,24.5,44807,46358,3,42462,9.2,305673,315021,12084,12084,7358,1406,291,267,2624,8631
NORTH DAKOTA,2011,684,110,179,95858,86154,6902,9127,7848,24.5,46058,47738,3,47218,17.6,341311,349763,12465,13869,8299,1363,312,325,2635,8757
NORTH DAKOTA,2012,701,108,179,99192,83999,7040,9400,8116,24.5,47344,49159,3,56310,282258,411995,418757,12516,14780,1324,169,426,2120,8631,8549
NORTH DAKOTA,2013,NA,182,177,99498,96068,7086,9529,8235,24.5,48666,50622,39644,-4.5,NA,296533,12084,12893,13353,NA,NA,NA,NA,NA,8733
OHIO,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,3713,1076,478,317,2071,NA
OHIO,2002,11409,2115,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,29230,2.5,182158,201485,NA,NA,3900,1177,503,333,2158,NA
OHIO,2003,11438,2075,891,1845428,1650494,115762,134206,117766,26.4,47482,48977,2.5,29938,4,186273,206361,10050,11237,4063,1274,539,341,2312,9035
OHIO,2004,11450,2049,891,1846763,1651840,114558,130680,114146,26.6,48692,50225,2.9,31135,NA,193329,216162,10674,11933,NA,NA,NA,NA,NA,9557
OHIO,2005,NA,NA,891,1862880,1651725,115854,136013,119587,26.5,50314,51682,NA,NA,NA,NA,NA,11078,12494,NA,NA,NA,NA,NA,10034
OHIO,2007,11467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,4752,1450,612,409,1752,NA
OHIO,2008,11528,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,–5.3,36113,-2.7,218554,252783,NA,NA,4882,1528,660,426,1854,NA
OHIO,2009,11543,1975,986,1892137,1645130,124264,137806,110628,25.1,55958,58580,-0.2,35145,2.7,213231,245991,9889,11374,4969,1594,763,445,1911,9528
OHIO,2010,11537,1523,986,1881436,1643439,125895,136292,108888,25,56715,58435,2.4,35931,6.6,219100,251996,9928,9928,5276,1757,700,433,2604,9813
OHIO,2011,11545,2115,1016,1875491,1642326,127736,134833,108399,25,56715,59834,2.4,38657,4.1,237125,271465,10228,11680,5092,1731,704,428,1825,9842
OHIO,2012,11553,1969,1016,1867582,1641128,129301,133305,107379,25,56307,61266,0.5,40230,213231,248704,283001,10213,11622,1528,660,426,1854,9813,9941
OHIO,2013,NA,986,1016,1854881,1639380,123168,132618,107764,25.1,55913,57911,35145,-2.7,NA,245991,9928,10054,11376,NA,NA,NA,NA,NA,11145
OKLAHOMA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,NA,NA,NA,NA,3697,915,374,248,1978,NA
OKLAHOMA,2002,3490,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,25958,2.7,145536,155900,NA,NA,3795,998,394,260,2058,NA
OKLAHOMA,2003,3506,634,541,625826,583932,36995,44497,39218,22.8,35061,37113,6.1,26556,4.8,149178,160059,6940,7438,3711,1001,370,255,1964,5976
OKLAHOMA,2004,3524,618,540,629134,587165,36897,47133,40406,22.5,37879,39359,2.6,27819,NA,156625,167862,7346,7871,NA,NA,NA,NA,NA,6614
OKLAHOMA,2005,NA,NA,540,634468,591486,36286,48358,41616,22.3,38772,40370,NA,NA,NA,NA,NA,7667,8224,NA,NA,NA,NA,NA,6944
OKLAHOMA,2007,3617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,4725,1321,457,331,1935,NA
OKLAHOMA,2008,3644,639,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,36917,-7.9,209653,225548,NA,NA,4925,1385,478,434,2004,NA
OKLAHOMA,2009,3687,647,527,654542,609376,37782,50255,42355,22.1,47691,48941,0.1,34004,4.3,196063,209496,9254,9940,5127,1439,734,345,2069,7968
OKLAHOMA,2010,3751,513,526,659622,616775,38167,48874,41326,22,44343,46099,0.2,35535,8.4,204137,219037,8636,8636,5014,1433,537,356,2601,8058
OKLAHOMA,2011,3792,635,522,665841,624410,37719,48863,41377,22,44391,46176,0.1,38960,6.2,223506,239033,9257,9871,5052,1516,596,369,1938,8285
OKLAHOMA,2012,3816,675,520,673190,630670,37284,49365,41832,21.9,44373,46216,0.6,41399,196063,237250,252992,8729,9317,1385,478,434,2004,8058,7912
OKLAHOMA,2013,NA,526,517,681578,639376,37516,49369,41949,21.9,44549,46482,34004,-7.9,NA,209496,8636,8804,9385,NA,NA,NA,NA,NA,7925
OREGON,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,4228,1149,623,326,2143,NA
OREGON,2002,3520,629,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,28464,0.9,181847,207590,NA,NA,3965,1244,652,339,2212,NA
OREGON,2003,3564,626,198,555880,491817,32456,31720,27668,33.2,49169,49500,1.3,29175,4.8,187680,212604,7918,8950,4055,981,454,345,2103,7587
OREGON,2004,3591,626,198,552320,488212,33350,31725,27850,31.6,48330,50628,3.5,30584,NA,199372,225492,9035,10221,NA,NA,NA,NA,NA,7842
OREGON,2005,NA,NA,196,559254,491252,33410,32204,28203,31.4,50044,52381,NA,NA,NA,NA,NA,9860,11225,NA,NA,NA,NA,NA,8649
OREGON,2007,3747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,4769,1083,570,411,1786,NA
OREGON,2008,3783,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,36798,-3.3,245917,279785,NA,NA,5068,1221,597,443,1864,NA
OREGON,2009,3826,625,196,561698,499024,35815,33713,29969,30.8,55224,57705,1.6,35571,2.1,240176,271400,11391,12822,5367,1323,411,453,1916,10476
OREGON,2010,3831,480,196,561331,498293,36000,31198,27646,30.9,56503,59073,1.6,35906,5.2,245364,277442,10828,10828,5453,1465,786,431,2580,9899
OREGON,2011,3872,629,196,560950,499702,36100,31350,27800,30.9,57348,60003,0.9,37744,4.1,260099,293003,11629,13054,5448,1483,820,459,1856,10897
OREGON,2012,3900,628,196,563714,499476,34076,29177,25862,30.7,57612,60484,1.9,39258,240176,272925,307148,11566,13054,1221,597,443,1864,9899,10251
OREGON,2013,NA,196,196,567100,504757,34463,29687,26418,30.6,58638,61636,35571,-3.3,NA,271400,10828,11988,13468,NA,NA,NA,NA,NA,10471
PENNSYLVANIA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,3824,1175,418,238,1971,NA
PENNSYLVANIA,2002,12329,2151,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,31034,2.3,210033,226955,NA,NA,3900,1284,439,248,2052,NA
PENNSYLVANIA,2003,12371,2126,500,1821146,1695342,123473,136861,118314,30.3,51835,52796,1.3,31730,4.8,216060,232443,10639,11428,3892,1424,424,230,2316,9261
PENNSYLVANIA,2004,12394,2118,500,1828089,1812300,124700,138689,119904,29.7,53258,54795,1.6,33257,NA,226556,242632,10954,11049,NA,NA,NA,NA,NA,9570
PENNSYLVANIA,2005,NA,NA,500,1830684,1701962,126926,142209,122378,28.8,54027,55652,NA,NA,NA,NA,NA,12388,13325,NA,NA,NA,NA,NA,10711
PENNSYLVANIA,2007,12433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,4859,1627,475,281,1542,NA
PENNSYLVANIA,2008,12566,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,40418,-2.5,281896,300564,NA,NA,5126,1706,515,445,1670,NA
PENNSYLVANIA,2009,12605,2028,499,1780413,1686534,134697,146774,126828,28.8,59156,60973,2.8,39420,3.1,279369,295467,15595,16464,5466,1934,321,295,1693,12728
PENNSYLVANIA,2010,12702,1545,499,1763946,1681858,136623,145768,125902,28.8,60760,62664,1.8,40444,5.1,288895,304976,16521,16521,5765,2015,596,298,2579,13334
PENNSYLVANIA,2011,12743,2151,499,1750104,1679598,138629,141784,120544,28.8,61934,63815,1.6,43813,4,316532,331981,17423,18154,5578,1926,631,312,1725,13904
PENNSYLVANIA,2012,12764,2020,499,1738700,1676976,140503,137666,119219,28.8,62994,64847,1,45577,279369,332421,346376,18317,18991,1706,515,445,1670,13334,14467
PENNSYLVANIA,2013,NA,499,499,1725820,1673109,142531,136070,118135,28.8,63701,65510,39420,-2.5,NA,295467,16521,19246,19853,NA,NA,NA,NA,NA,15061
RHODE ISLAND,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,4534,1561,280,401,2041,NA
RHODE ISLAND,2002,1068,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3,31042,3.1,210058,226248,NA,NA,4671,1698,292,421,2117,NA
RHODE ISLAND,2003,1076,183,36,159825,149382,8787,16023,13664,22.6,52261,54922,2.3,32452,5.3,221018,236073,9358,10012,4973,1796,297,469,2260,10258
RHODE ISLAND,2004,1080,182,36,160574,151132,8860,16674,14171,22.3,53473,56196,3.1,34180,NA,231103,247260,9561,10158,NA,NA,NA,NA,NA,10641
RHODE ISLAND,2005,NA,NA,36,161237,152909,9025,17125,14512,22,54730,57915,NA,NA,NA,NA,NA,9850,10386,NA,NA,NA,NA,NA,11089
RHODE ISLAND,2007,1058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,5926,2049,222,553,1620,NA
RHODE ISLAND,2008,1054,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,41738,-2.5,296155,326017,NA,NA,5663,2005,261,448,1586,NA
RHODE ISLAND,2009,1053,167,49,145118,124865,9576,11980,11132,22,59686,64121,2.4,40706,3.8,295093,324696,17841,20735,6033,2144,3157,570,1679,15384
RHODE ISLAND,2010,1053,124,49,138803,117999,9715,11959,11081,22,60923,65640,2.4,42001,3.8,304629,354041,16400,16400,6096,2219,231,619,2532,15803
RHODE ISLAND,2011,1051,179,49,137175,114765,9846,11904,11029,22,62186,67211,2.4,44621,3.8,337754,397302,16675,19931,6263,2147,234,612,1859,16683
RHODE ISLAND,2012,1050,161,49,134242,108626,9991,10936,10042,22,63474,68821,2.3,46257,295093,354176,423335,17693,21866,2005,261,448,1586,15803,17666
RHODE ISLAND,2013,NA,49,49,131093,102561,10127,10704,9809,22,64696,70411,40706,-2.5,NA,324696,16400,18458,23593,NA,NA,NA,NA,NA,18627
SOUTH CAROLINA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4154,1066,766,232,2042,NA
SOUTH CAROLINA,2002,4104,713,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,25485,2.4,156243,164476,NA,NA,4262,1155,804,242,2111,NA
SOUTH CAROLINA,2003,4149,746,87,676817,644564,35700,52657,45160,17.4,41162,42501,4.1,25950,4.6,160155,170876,8872,9315,4278,1175,822,234,2144,7043
SOUTH CAROLINA,2004,4198,744,87,680635,640241,36462,54139,46167,17.7,42189,44245,2.1,27153,NA,168418,176845,9226,9808,NA,NA,NA,NA,NA,8035
SOUTH CAROLINA,2005,NA,NA,87,694155,648145,37728,55456,47441,17.9,43011,45190,NA,NA,NA,NA,NA,9490,10164,NA,NA,NA,NA,NA,8377
SOUTH CAROLINA,2007,4408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,5131,1217,1106,300,1819,NA
SOUTH CAROLINA,2008,4503,763,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,32947,-3.9,211429,225687,NA,NA,5028,1350,1247,464,1718,NA
SOUTH CAROLINA,2009,4561,770,89,712244,663967,36989,56617,48257,18.4,47508,49888,-1,31646,2.4,205230,219200,10854,11644,4956,1342,416,321,1681,9531
SOUTH CAROLINA,2010,4625,593,89,714421,664056,42554,54593,46247,18.3,47050,49388,0.8,32193,4.6,209596,224835,10996,10996,5056,1456,1312,321,2530,9167
SOUTH CAROLINA,2011,4679,713,87,721398,668710,44106,55660,47310,18.4,47428,49769,2,34183,3.7,223604,240563,10945,11808,4722,1243,1331,315,1717,8776
SOUTH CAROLINA,2012,4723,783,85,682820,687670,44622,56658,47898,18.6,48375,50771,0.2,35347,205230,229613,245780,12152,12066,1350,1247,464,1718,9167,9795
SOUTH CAROLINA,2013,NA,89,82,746015,688328,45137,57539,48634,18.8,48430,50859,31646,-3.9,NA,219200,10996,12012,13018,NA,NA,NA,NA,NA,9445
SOUTH DAKOTA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,NA,NA,NA,NA,3361,796,225,187,1790,NA
SOUTH DAKOTA,2002,760,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,26865,8.2,162636,171876,NA,NA,3481,867,235,195,1858,NA
SOUTH DAKOTA,2003,765,144,169,124469,116585,8958,9942,9031,24.8,33236,34460,2.5,29063,5.3,177857,187307,8081,8628,3543,916,244,217,1844,7129
SOUTH DAKOTA,2004,771,139,165,121622,115605,8581,9825,8926,24.6,34040,35313,1.9,30617,NA,189622,202445,8731,9185,NA,NA,NA,NA,NA,7536
SOUTH DAKOTA,2005,NA,NA,165,120682,114555,8325,9867,8963,24.3,34709,35983,NA,NA,NA,NA,NA,9128,9616,NA,NA,NA,NA,NA,7911
SOUTH DAKOTA,2007,796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,4229,1019,279,235,1373,NA
SOUTH DAKOTA,2008,805,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,39248,-2.6,258011,275377,NA,NA,4596,1110,317,472,1492,NA
SOUTH DAKOTA,2009,812,140,154,123370,116070,8170,10140,9212,23.3,38837,40315,2.6,38240,3.7,252853,264123,10428,11083,4900,1209,833,253,1601,9021
SOUTH DAKOTA,2010,814,109,152,123629,116208,8201,10294,9284,23.2,39850,41367,-2.2,39558,10.5,264657,280347,10476,10476,4930,1181,346,271,2497,8997
SOUTH DAKOTA,2011,824,145,152,124739,117894,8143,10067,9075,23.4,38804,40455,0.5,44843,2.8,298736,317516,10360,10962,4770,1131,334,278,1460,9218
SOUTH DAKOTA,2012,834,145,151,126798,123196,8235,10169,9158,23.2,39018,40641,2.5,45676,252853,305404,323136,10310,10611,1110,317,472,1492,8997,9347
SOUTH DAKOTA,2013,NA,152,151,128294,123964,8238,10342,9328,22.9,40023,41649,38240,-2.6,NA,264123,10476,10383,10746,NA,NA,NA,NA,NA,8962
TENNESSEE,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3193,1115,570,242,1635,NA
TENNESSEE,2002,5790,1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,27678,3.4,176603,189093,NA,NA,3317,1211,599,252,1693,NA
TENNESSEE,2003,5845,1012,135,919896,856382,47844,67050,58577,22.1,40318,41997,4.2,28412,4.9,182427,195693,6731,7230,3495,1326,631,266,1656,6501
TENNESSEE,2004,5893,1007,135,928572,866546,48838,68536,59215,22.4,42076,43744,1,29806,NA,191201,205381,7176,7689,NA,NA,NA,NA,NA,6855
TENNESSEE,2005,NA,NA,135,939571,879908,52767,70374,60691,23.6,42537,44173,NA,NA,NA,NA,NA,7473,7979,NA,NA,NA,NA,NA,6979
TENNESSEE,2007,6157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,3928,1318,700,339,1364,NA
TENNESSEE,2008,6240,1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,35098,-3.7,228999,246158,NA,NA,4109,1317,712,498,1423,NA
TENNESSEE,2009,6296,1068,135,953975,894764,62529,76814,65049,21.3,46290,48126,0.7,33802,4.1,223361,278037,8660,9233,4149,1478,302,361,1414,8199
TENNESSEE,2010,6346,831,135,988822,897807,64936,77010,65008,21.5,45891,47877,3.1,35103,4.8,227782,249413,8768,8768,4305,1571,676,378,2477,8213
TENNESSEE,2011,6403,1021,135,959322,902067,62157,76820,64702,21.6,47082,49342,0.6,37129,5,240305,264665,9163,9744,4400,1581,676,364,1528,8577
TENNESSEE,2012,6455,1090,136,979806,909032,62019,77404,65144,21.6,47563,49647,0.5,39002,223361,262427,279084,8868,9558,1317,712,498,1423,8213,8647
TENNESSEE,2013,NA,135,135,970035,913119,61838,76659,64596,21.6,47742,49890,33802,-3.7,NA,278037,8768,9290,9869,NA,NA,NA,NA,NA,8797
TEXAS,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1,NA,NA,NA,NA,2831,686,465,240,2103,NA
TEXAS,2002,21737,4384,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,28721,2.1,150462,161610,NA,NA,3022,739,485,249,2161,NA
TEXAS,2003,22103,4433,1227,4311502,4014926,244165,325504,289481,22.7,40476,43157,0.8,29453,4.2,153543,165796,8208,8814,3011,810,458,266,2212,7168
TEXAS,2004,22472,4424,1229,4383871,4096352,239716,331608,294546,22.9,41011,43500,1.9,30697,NA,160124,172175,8447,9039,NA,NA,NA,NA,NA,7310
TEXAS,2005,NA,NA,1227,4505572,4209672,240485,340240,302402,22.9,41744,44323,NA,NA,NA,NA,NA,8865,9488,NA,NA,NA,NA,NA,7547
TEXAS,2007,23904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,3649,934,532,328,1672,NA
TEXAS,2008,24304,4698,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,39806,-8.4,207986,221962,NA,NA,3959,1060,543,504,1790,NA
TEXAS,2009,24782,4822,1237,4824778,4485884,270882,376995,333103,23,48261,51165,0.6,36458,4.4,191238,203069,10630,11434,4071,1141,218,358,1857,9227
TEXAS,2010,25146,3810,1228,4912385,4551084,287533,379250,334946,23.2,48638,51486,-0.6,38222,7.9,200058,215172,10248,10248,4230,1201,659,355,2458,8751
TEXAS,2011,25675,4384,1227,4978120,4634374,297846,366204,324243,23.2,48373,51193,1,41103,5.5,214468,231495,10055,10801,4180,1182,699,357,1880,8498
TEXAS,2012,26061,5044,1228,5058939,4699290,294705,369966,327516,23.2,48819,51689,1.9,43271,191238,226526,243320,9958,10720,1060,543,504,1790,8751,8275
TEXAS,2013,NA,1228,1227,5135880,4780772,310461,378660,334612,23.3,49690,52653,36458,-8.4,NA,203069,10248,10334,11102,NA,NA,NA,NA,NA,8681
UNITED STATES,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,3857,971,508,314,2065,NA
UNITED STATES,2002,287974,53285,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,30804,2.2,187219,200600,NA,NA,4003,1054,533,327,2137,NA
UNITED STATES,2003,290789,53274,15397,48132518,45081855,2771781,3469154,3044012,24.9,46752,48402,2,31487,4.9,191582,204768,9407,10044,4119,1142,544,334,2232,8248
UNITED STATES,2004,293657,53207,15440,48369744,45502821,2802522,3502611,3066272,24.5,47674,49377,3,33041,NA,201678,215936,9870,10492,NA,NA,NA,NA,NA,8661
UNITED STATES,2005,NA,NA,15416,48727536,45484979,2844044,3565829,3121638,24.4,49026,50924,NA,NA,NA,NA,NA,10374,11113,NA,NA,NA,NA,NA,9100
UNITED STATES,2007,301621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,4939,1331,621,425,1798,NA
UNITED STATES,2008,304375,52936,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,40673,-4.5,252592,269890,NA,NA,5062,1404,679,546,1847,NA
UNITED STATES,2009,307007,53249,15350,49141467,46680250,3117890,3692627,3215371,24,55202,57146,0.8,38846,3,243055,257181,11841,12465,5163,1479,727,460,1850,10586
