State,Year,Secondary Teachers [State],Total R&D Expenditures (In $ Thousands) ,Pupil/Teacher Ratio [State],Full-Time Equivalent (FTE) Teachers [State],Grade 9 Students Enrollment [State],Grade 10 Students Enrollment [State],Grade 11 Students Enrollment [State],Grade 12 Students Enrollment [State],Grade 9 Dropouts [State],Grade 10 Dropouts [State],Grade 11 Dropouts [State],Grade 12 Dropouts [State],Grades 9-12 Dropouts [State],No of SAT Test Takers,Critical Reading - Mean,Critical Reading - SD,Mathematics - Mean,Mathematics - SD,Writing - Mean,Writing - SD,No high school diploma (Numbers in Thousands),High school or equivalent (Numbers in Thousands),"Some college, less than 4-yr degree (Numbers in Thousands)",Bachelor's degree or higher (Numbers in Thousands)
MINNESOTA,1986-87,20868,,,40957,54693,59579,59914,57818,,,,,,,,,,,,,,,,
MISSISSIPPI,2013-14,13068.15,,15.25,32292.27,37991,34605,30560,29412,2399,2651,2339,2023,10414,894,583,112,566,111,565,111,137,336,358,283
MISSISSIPPI,2012-13,13186.76,,15.14,32613.46,37825,34874,31434,29676,1379,1498,1285,1094,5835,996,568,112,547,112,558,116,183,358,306,267
MISSISSIPPI,2011-12,12557.2,,15.33,32006.66,37856,35235,31952,29115,1497,1631,1450,1139,6399,1030,561,115,544,116,551,113,181,368,343,271
MISSISSIPPI,2010-11,12891.48,,15.21,32254.83,38666,36364,31579,29668,1778,1664,1397,1076,5915,1090,564,119,543,115,553,116,198,345,342,247
MISSISSIPPI,2009-10,13270.49,416804,14.88,33103.49,40164,36215,32189,28943,1119,1126,1039,816,4100,938,566,121,548,115,552,114,202,324,337,209
MISSISSIPPI,2008-09,13291,,14.7,33358,40518,36784,31327,28288,979,1040,922,709,3650,996,567,112,554,107,559,107,222,390,270,243
MISSISSIPPI,2007-08,13103,410637,14.7,33560,41807,36461,31077,27688,1067,985,979,799,3830,937,574,114,556,111,566,110,221,341,299,237
MISSISSIPPI,2006-07,12408,369143,15.3,32351,42005,35506,30232,26732,1236,1355,1164,1104,4859,1077,568,116,549,113,560,109,238,323,306,210
MISSISSIPPI,2005-06,12035,353445,15.7,31433,41191,35019,29599,26383,1459,1402,1223,984,5068,1151,556,117,541,119,562,108,209,352,290,209
MISSISSIPPI,2004-05,11833,347772,15.8,31321,40195,34245,29012,25801,1722,1688,1432,1266,6108,,,,,,,,253,325,271,242
MISSISSIPPI,2003-04,13385,324298,15.1,32591,39536,33563,28316,25918,,,,,,,,,,,,,192,363,293,214
MISSISSIPPI,2002-03,12943,285466,15.6,31598,39138,33091,28674,26029,,,,,,,,,,,,,220,369,301,191
MISSISSIPPI,2001-02,11088,242133,15.8,31213,38498,33388,28659,25816,,,,,,,,,,,,,,,,
MISSISSIPPI,2000-01,10126,217064,16.1,31006,39390,33717,28773,26291,,,,,,,,,,,,,,,,
MISSISSIPPI,1999-00,10035,160287,16.3,30722,39404,34047,29391,26500,,,,,,,,,,,,,,,,
MISSISSIPPI,1998-99,10165,152683,16.1,31140,40169,34875,29319,26452,,,,,,,,,,,,,,,,
MISSISSIPPI,1997-98,9464,131222,17.1,29441,41768,35246,29499,26788,,,,,,,,,,,,,,,,
MISSISSIPPI,1996-97,9283,130339,,29293,43295,35243,29357,25711,,,,,,,,,,,,,,,,
MISSISSIPPI,1995-96,9070,118436,,28997,43241,35552,28587,25741,,,,,,,,,,,,,,,,
MISSISSIPPI,1994-95,8864,,,28866,43434,33918,28584,26436,,,,,,,,,,,,,,,,
MISSISSIPPI,1993-94,9184,,,28376,41660,33709,29587,26156,,,,,,,,,,,,,,,,
MISSISSIPPI,1992-93,10381,,,27829,40580,33878,28768,26328,,,,,,,,,,,,,,,,
MISSISSIPPI,1991-92,10569,,,28111,39664,33125,29202,25713,,,,,,,,,,,,,,,,
MISSISSIPPI,1990-91,10803,92300,,28062,37440,33177,28303,26411,,,,,,,,,,,,,,,,
MISSISSIPPI,1989-90,10562,,,27591,37133,32917,29047,27851,,,,,,,,,,,,,,,,
MISSISSIPPI,1988-89,10563,,,27283,36909,33692,30389,29129,,,,,,,,,,,,,,,,
MISSISSIPPI,1987-88,11866,,,26931,38370,35224,31841,30281,,,,,,,,,,,,,,,,
MISSISSIPPI,1986-87,11329,,,26219,39196,36808,32734,28405,,,,,,,,,,,,,,,,
MISSOURI,2013-14,32140.89,,13.78,66651.04,71149,69057,65303,63718,2139,2009,2449,3245,9842,2719,595,117,597,114,579,118,214,841,737,662
MISSOURI,2012-13,32028.75,,13.86,66248.19,72240,68242,65737,64151,2816,2900,3171,3334,12221,2743,596,115,595,116,582,115,294,688,759,727
MISSOURI,2011-12,32110.81,,13.83,66251.53,71813,69041,65879,64475,4110,3352,3357,3112,13931,3077,589,114,592,112,575,115,272,774,787,675
MISSOURI,2010-11,32429.58,,13.77,66734.84,73080,69794,66855,65990,2432,2688,2958,2610,10688,3222,592,114,593,111,579,113,293,782,791,630
MISSOURI,2009-10,32865.12,1008901,13.54,67795.77,74943,70126,67577,67254,2674,2880,3110,2919,11583,2930,593,114,595,113,580,114,295,843,726,527
MISSOURI,2008-09,33145,,13.5,68015,75220,71882,69092,66266,1977,2760,2860,2673,10270,3153,595,113,600,109,584,110,278,812,658,641
MISSOURI,2007-08,33010,941445,13.4,68430,79020,73264,67715,65443,1731,2389,2670,2300,9090,3483,594,110,597,107,584,108,309,753,719,602
MISSOURI,2006-07,32538,900202,13.6,67521,81671,73311,67341,63755,1673,2397,2721,2258,9049,3720,594,107,594,108,587,104,316,849,624,640
MISSOURI,2005-06,32180,893013,13.7,67076,80473,73142,66316,62632,1864,2635,2859,2341,9699,4266,587,107,591,109,582,104,333,796,662,571
MISSOURI,2004-05,31770,841584,13.8,65847,78748,71794,64402,61838,2336,3135,3363,2613,11447,,,,,,,,357,755,592,567
MISSOURI,2003-04,31606,806907,13.9,65169,77175,70278,64387,61626,,,,,,,,,,,,,283,804,578,621
MISSOURI,2002-03,32225,705593,13.6,66717,75685,70055,64602,60920,,,,,,,,,,,,,261,778,605,566
MISSOURI,2001-02,31659,678460,13.9,65240,75156,69519,63408,57727,,,,,,,,,,,,,,,,
MISSOURI,2000-01,31385,614101,14.1,64735,75148,69939,62166,58103,,,,,,,,,,,,,,,,
MISSOURI,1999-00,30661,549876,14.3,63890,75791,68523,62280,56213,,,,,,,,,,,,,,,,
MISSOURI,1998-99,30204,484502,14.6,62449,73989,68955,60881,56165,,,,,,,,,,,,,,,,
MISSOURI,1997-98,29539,465438,15,60889,74706,66849,60854,55673,,,,,,,,,,,,,,,,
MISSOURI,1996-97,28520,411058,,59428,72326,67072,60665,54488,,,,,,,,,,,,,,,,
MISSOURI,1995-96,27817,403589,,57951,72575,66804,59378,52939,,,,,,,,,,,,,,,,
MISSOURI,1994-95,26782,,,56606,72584,65084,57447,52654,,,,,,,,,,,,,,,,
MISSOURI,1993-94,25775,,,54860,71288,63148,57243,50195,,,,,,,,,,,,,,,,
MISSOURI,1992-93,24804,,,52984,68595,62289,54019,50534,,,,,,,,,,,,,,,,
MISSOURI,1991-92,24767,,,52643,67214,58356,54138,49503,,,,,,,,,,,,,,,,
MISSOURI,1990-91,24795,291383,,52359,63605,59145,53352,49925,,,,,,,,,,,,,,,,
MISSOURI,1989-90,23948,,,51362,64372,58526,54550,52420,,,,,,,,,,,,,,,,
MISSOURI,1988-89,23769,,,50693,63567,59698,57377,56218,,,,,,,,,,,,,,,,
MISSOURI,1987-88,23512,,,49632,64700,62280,61232,54936,,,,,,,,,,,,,,,,
MISSOURI,1986-87,23365,,,48902,67105,65771,59943,54738,,,,,,,,,,,,,,,,
MONTANA,2013-14,3149.58,,13.98,10310.32,11228,10726,10272,9912,340,435,527,599,1901,1651,555,100,552,96,530,99,27,128,145,115
MONTANA,2012-13,3120.76,,14.01,10199.89,11256,10676,10373,9784,370,559,648,695,2272,2308,539,100,540,97,516,99,26,125,153,128
MONTANA,2011-12,3172.11,,14.02,10152.67,11326,10841,10249,10208,375,613,700,726,2435,2773,536,102,536,99,511,100,35,119,159,124
MONTANA,2010-11,3306.96,,13.68,10360.99,11569,10733,10584,10316,342,459,510,466,1777,2658,539,99,537,97,516,98,27,130,134,124
MONTANA,2009-10,3388.2,181649,13.48,10521.25,11563,11072,10741,10563,390,419,489,461,1759,2626,538,97,538,95,517,94,31,140,132,125
MONTANA,2008-09,3388,,13.6,10467,11890,11326,11144,10670,334,401,444,449,1628,2456,541,98,542,98,519,96,35,141,133,121
MONTANA,2007-08,3437,179137,13.6,10519,12134,11970,11287,11057,309,459,460,427,1655,2648,541,98,548,96,523,96,33,138,133,99
MONTANA,2006-07,3454,172622,13.9,10398,12845,12008,11617,10870,337,463,499,483,1782,2873,538,97,543,95,522,95,38,130,133,109
MONTANA,2005-06,3442,170791,14,10369,12778,12320,11369,11095,360,580,497,467,1904,3024,538,98,545,96,524,95,35,139,125,97
MONTANA,2004-05,3423,154726,14.3,10224,13200,12039,11494,11173,424,555,562,554,2095,,,,,,,,32,139,125,93
MONTANA,2003-04,3432,141220,14.4,10301,12915,12252,11667,11258,,,,,,,,,,,,,40,129,126,100
MONTANA,2002-03,3458,122375,14.5,10362,12972,12454,11868,11433,,,,,,,,,,,,,41,127,122,96
MONTANA,2001-02,3436,107744,14.6,10408,13004,12757,12083,11307,,,,,,,,,,,,,,,,
MONTANA,2000-01,3314,99069,14.9,10411,13359,12861,11974,11371,,,,,,,,,,,,,,,,
MONTANA,1999-00,3318,84460,15.2,10353,13532,12877,11985,11571,,,,,,,,,,,,,,,,
MONTANA,1998-99,3310,76655,15.7,10221,13655,12816,12266,11611,,,,,,,,,,,,,,,,
MONTANA,1997-98,3221,74443,15.9,10228,13753,13094,12140,11301,,,,,,,,,,,,,,,,
MONTANA,1996-97,3266,74992,,10268,13957,13013,11826,11018,,,,,,,,,,,,,,,,
MONTANA,1995-96,3102,69975,,10076,13921,12569,11635,10897,,,,,,,,,,,,,,,,
MONTANA,1994-95,3070,,,10079,13309,12148,11286,10681,,,,,,,,,,,,,,,,
MONTANA,1993-94,3036,,,9950,12737,11935,11114,10325,,,,,,,,,,,,,,,,
MONTANA,1992-93,3404,,,10135,12252,11533,10645,10019,,,,,,,,,,,,,,,,
MONTANA,1991-92,2982,,,9883,11842,11057,10181,9597,,,,,,,,,,,,,,,,
MONTANA,1990-91,2830,36567,,9613,11370,10627,9930,9609,,,,,,,,,,,,,,,,
MONTANA,1989-90,2968,,,9627,10827,10296,9806,9985,,,,,,,,,,,,,,,,
MONTANA,1988-89,2859,,,9626,10585,10267,10294,10958,,,,,,,,,,,,,,,,
MONTANA,1987-88,3095,,,9659,10620,10773,11295,10906,,,,,,,,,,,,,,,,
MONTANA,1986-87,3153,,,9818,11249,11887,11297,10681,,,,,,,,,,,,,,,,
NEBRASKA,2013-14,8306.33,,13.73,22401.06,22051,21925,21611,22968,186,372,538,825,1921,772,589,118,587,114,569,111,60,183,275,244
NEBRASKA,2012-13,8297.81,,13.73,22102.87,21796,21725,21400,23152,304,499,590,785,2178,827,584,121,583,119,567,115,62,216,241,240
NEBRASKA,2011-12,8339.66,,13.58,22181.95,21965,21986,21509,22332,321,510,606,807,2244,1027,576,115,585,115,562,110,59,221,221,226
NEBRASKA,2010-11,8506.3,,13.36,22345.16,22567,21998,21407,22236,448,587,686,873,2594,980,585,118,591,115,569,115,68,226,224,205
NEBRASKA,2009-10,8482.48,393611,13.27,22256.24,22765,22073,21404,22266,461,590,618,846,2515,957,585,111,593,108,568,106,65,219,231,206
NEBRASKA,2008-09,7855,,13.3,22057,23137,22496,21799,22246,420,583,637,791,2431,1002,587,111,594,108,572,105,73,217,221,198
NEBRASKA,2007-08,7847,364842,13.3,21930,23829,22898,22022,22400,487,606,649,784,2526,1139,581,110,585,112,567,108,64,236,224,190
NEBRASKA,2006-07,7755,358858,13.4,21459,24459,23346,22479,21527,543,647,774,849,2813,1325,579,107,585,107,562,100,63,231,237,190
NEBRASKA,2005-06,7560,360148,13.4,21359,24953,23713,21506,21419,863,859,1042,1011,3775,1498,576,104,583,106,566,101,68,247,210,204
NEBRASKA,2004-05,7638,324541,13.5,21236,25214,22734,21440,21557,715,952,973,974,3614,,,,,,,,76,231,225,166
NEBRASKA,2003-04,8000,300540,13.6,20921,24374,22372,21507,21872,,,,,,,,,,,,,65,217,242,162
NEBRASKA,2002-03,8234,266930,13.6,21043,24032,22440,21885,21932,,,,,,,,,,,,,68,228,216,175
NEBRASKA,2001-02,8350,241638,13.5,21083,23855,22824,22084,21679,,,,,,,,,,,,,,,,
NEBRASKA,2000-01,8365,208480,13.6,20983,24236,23378,21948,21151,,,,,,,,,,,,,,,,
NEBRASKA,1999-00,8311,205495,13.9,20766,24861,23064,21692,21630,,,,,,,,,,,,,,,,
NEBRASKA,1998-99,8273,186320,14.3,20310,24901,22865,22103,21517,,,,,,,,,,,,,,,,
NEBRASKA,1997-98,8373,177481,14.6,20065,24559,23457,22069,20912,,,,,,,,,,,,,,,,
NEBRASKA,1996-97,8523,158494,,20174,24047,23790,21498,19786,,,,,,,,,,,,,,,,
NEBRASKA,1995-96,8506,158717,,20028,23813,23184,20450,19275,,,,,,,,,,,,,,,,
NEBRASKA,1994-95,8406,,,19774,23281,21958,19662,19144,,,,,,,,,,,,,,,,
NEBRASKA,1993-94,8372,,,19616,22627,20770,19696,18578,,,,,,,,,,,,,,,,
NEBRASKA,1992-93,8337,,,19323,21718,20471,18787,18999,,,,,,,,,,,,,,,,
NEBRASKA,1991-92,8233,,,19069,21310,19540,19229,18106,,,,,,,,,,,,,,,,
NEBRASKA,1990-91,8135,105400,,18764,20061,19837,18423,17680,,,,,,,,,,,,,,,,
NEBRASKA,1989-90,8076,,,18464,20206,19246,18142,19099,,,,,,,,,,,,,,,,
NEBRASKA,1988-89,8014,,,18003,19567,19029,19572,19964,,,,,,,,,,,,,,,,
NEBRASKA,1987-88,8108,,,17713,19123,20374,20690,19747,,,,,,,,,,,,,,,,
NEBRASKA,1986-87,8263,,,17748,20650,21532,20298,19377,,,,,,,,,,,,,,,,
NEVADA,2013-14,8071.24,,20.61,21920.59,34497,33935,32682,31450,790,1389,1294,2071,5544,11663,495,98,494,101,469,99,118,346,372,267
NEVADA,2012-13,7682.6,,21.54,20694.95,34025,33462,32527,31939,1769,1547,1046,1979,6341,11403,492,98,494,102,468,98,111,334,378,253
NEVADA,2011-12,7768.53,,20.8,21131.5,33511,33402,33017,30322,1705,1522,1057,1852,6136,11048,491,98,493,103,466,97,131,279,343,273
NEVADA,2010-11,8041.13,,20.02,21839.48,33780,34199,32645,29207,1857,1582,1085,1646,6170,10391,494,101,496,103,470,100,117,296,342,275
NEVADA,2009-10,7982.42,182016,19.41,22103.52,33735,34330,29420,25935,2495,2221,1791,2429,8936,9460,496,97,501,100,473,96,119,302,305,242
NEVADA,2008-09,7892,,19.7,21993,41768,34224,25712,23330,1817,1694,1202,1723,6436,8919,501,99,505,102,479,97,110,303,317,250
NEVADA,2007-08,8067,189096,18.3,23423,40265,33676,25983,21828,1501,1470,1253,2078,6302,8294,498,99,506,102,478,97,122,303,317,251
NEVADA,2006-07,7866,194459,18.5,22908,41273,33886,25268,21352,1556,1449,1132,1850,5987,7744,500,99,506,101,480,97,118,335,296,224
NEVADA,2005-06,7710,178492,19,21744,39421,32585,23868,20501,1608,1095,490,2832,6025,7120,498,99,508,102,481,98,120,321,298,200
NEVADA,2004-05,7188,163764,19.1,20950,36056,30706,23167,21385,1011,337,1125,2257,4730,,,,,,,,101,317,287,212
NEVADA,2003-04,7777,154515,19,20234,34779,28685,22486,18700,,,,,,,,,,,,,112,293,252,216
NEVADA,2002-03,7456,126713,18.4,20038,32598,27079,20829,18032,,,,,,,,,,,,,105,282,243,169
NEVADA,2001-02,6937,115934,18.5,19276,32086,25082,17694,19461,,,,,,,,,,,,,,,,
NEVADA,2000-01,6691,106340,18.6,18293,29972,19998,21477,18519,,,,,,,,,,,,,,,,
NEVADA,1999-00,6448,91485,18.7,17380,24618,22660,20549,18139,,,,,,,,,,,,,,,,
NEVADA,1998-99,6010,83888,18.9,16415,23183,21652,20108,16824,,,,,,,,,,,,,,,,
NEVADA,1997-98,5752,88331,18.5,16053,22037,21344,18638,15782,,,,,,,,,,,,,,,,
NEVADA,1996-97,5330,84970,,14805,21162,19999,17912,15316,,,,,,,,,,,,,,,,
NEVADA,1995-96,5210,86902,,13878,19661,18773,16553,14143,,,,,,,,,,,,,,,,
NEVADA,1994-95,5058,,,13414,18685,17463,15586,13659,,,,,,,,,,,,,,,,
NEVADA,1993-94,4648,,,12579,17014,16065,14899,12749,,,,,,,,,,,,,,,,
NEVADA,1992-93,4234,,,11953,15854,15523,13986,12242,,,,,,,,,,,,,,,,
NEVADA,1991-92,3983,,,11409,15412,14311,13070,11283,,,,,,,,,,,,,,,,
NEVADA,1990-91,3639,53750,,10373,14072,13530,12614,11197,,,,,,,,,,,,,,,,
NEVADA,1989-90,3464,,,9175,12999,12870,12191,11297,,,,,,,,,,,,,,,,
NEVADA,1988-89,3825,,,8699,12463,12454,12199,11916,,,,,,,,,,,,,,,,
NEVADA,1987-88,3769,,,8348,12112,12508,13020,11604,,,,,,,,,,,,,,,,
NEVADA,1986-87,3692,,,7908,12273,13299,12448,11023,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,2013-14,4774.3,,12.57,14826.1,15766,15131,14340,14140,3,6,90,667,766,11066,524,102,530,107,512,104,29,156,150,193
NEW HAMPSHIRE,2012-13,4941.4,,12.66,14924.7,16321,15243,14641,14600,19,82,254,771,1126,11338,524,104,528,107,515,105,38,145,138,217
NEW HAMPSHIRE,2011-12,4869.4,,12.75,15049.2,16641,15537,15179,14911,31,226,599,1131,1987,11556,521,104,525,108,510,105,38,141,145,192
NEW HAMPSHIRE,2010-11,4963.2,,12.67,15365.2,16832,15994,15290,15019,107,361,623,1086,2177,12044,523,104,525,107,511,105,35,136,144,193
NEW HAMPSHIRE,2009-10,4959.7,298298,12.73,15490.6,17108,16277,15399,15588,141,402,668,916,2127,12351,520,104,524,107,510,105,44,146,153,191
NEW HAMPSHIRE,2008-09,5012,,12.6,15661,17244,16260,16016,15419,170,456,685,995,2306,12351,523,105,523,108,510,106,40,147,145,187
NEW HAMPSHIRE,2007-08,4908,307074,13,15484,17532,16922,16000,15959,226,539,729,1006,2500,12603,521,104,523,108,511,105,39,144,148,183
NEW HAMPSHIRE,2006-07,4933,315394,13.1,15515,18280,16914,16698,15492,256,478,699,1008,2441,12600,521,104,521,107,512,104,44,155,148,169
NEW HAMPSHIRE,2005-06,4871,287472,13.2,15536,18269,17478,16364,15001,317,550,782,843,2492,12354,520,104,524,108,509,103,47,159,145,170
NEW HAMPSHIRE,2004-05,4801,277201,13.5,15298,18584,17233,15871,14847,343,628,927,865,2763,,,,,,,,45,154,147,160
NEW HAMPSHIRE,2003-04,4721,252210,13.7,15112,18286,16715,15879,14445,,,,,,,,,,,,,48,146,134,168
NEW HAMPSHIRE,2002-03,4566,220061,13.9,14977,17788,16583,15337,14280,,,,,,,,,,,,,41,145,136,179
NEW HAMPSHIRE,2001-02,4493,196975,14.1,14677,17646,16156,15175,13309,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,2000-01,4359,150982,14.5,14341,17578,16160,14492,13024,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,1999-00,4418,127135,14.7,14037,17520,15297,14317,12734,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,1998-99,4047,117323,15.4,13290,16566,15149,14061,12148,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,1997-98,4080,107505,15.6,12931,16336,14955,13354,11656,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,1996-97,3797,98638,,12692,15999,14321,12875,11158,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,1995-96,3899,93073,,12346,15420,13597,12387,10996,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,1994-95,3951,,,12109,14564,12969,11965,10919,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,1993-94,3913,,,11972,14039,12499,11925,10635,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,1992-93,3558,,,11654,13477,12371,11399,10752,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,1991-92,3622,,,11464,13541,11773,11516,10483,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,1990-91,3573,69731,,10637,12680,11881,11334,10408,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,1989-90,3478,,,10572,12838,11898,11097,11131,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,1988-89,3757,,,10442,13230,11969,12219,11878,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,1987-88,4106,,,10363,13206,13120,12955,12226,,,,,,,,,,,,,,,,
NEW HAMPSHIRE,1986-87,4094,,,10300,14547,13982,13165,11641,,,,,,,,,,,,,,,,
NEW JERSEY,2013-14,38638.44,,11.96,114581.2,104627,101728,97390,95646,1696,1667,1522,1594,7044,83431,501,115,523,120,502,118,318,936,836,1226
NEW JERSEY,2012-13,37480.92,,12.37,110928.64,105857,101466,96504,97048,1768,1533,1491,1494,6926,83489,499,114,522,118,500,115,334,917,729,1293
NEW JERSEY,2011-12,37690.8,,12.36,109719.1,104553,98853,96668,94059,1346,1588,1710,1676,6320,84857,495,114,517,119,499,116,326,931,699,1238
NEW JERSEY,2010-11,38278.2,,12.73,110202.4,106281,103267,98237,97358,1762,2007,1995,1775,7539,86515,495,113,516,118,497,115,316,986,732,1195
NEW JERSEY,2009-10,40615,913835,12.11,115248,108577,104572,100966,98733,1474,1714,1790,1669,6647,84874,495,113,514,118,497,115,330,1028,684,1184
NEW JERSEY,2008-09,48663,,12,114713,107770,104922,99293,97515,_,_,2067,1855,3922,84417,496,113,513,119,496,115,366,956,632,1219
NEW JERSEY,2007-08,46343,864443,12.4,111500,108724,104930,100600,97078,Ê,Ê,1834,1669,3503,85382,495,113,513,119,496,114,367,1031,591,1243
NEW JERSEY,2006-07,48157,858413,12.4,112301,108572,105161,99725,94685,1655,1966,1878,1700,7199,85511,495,114,510,118,494,113,370,952,650,1222
NEW JERSEY,2005-06,68782,867121,12.4,112673,110035,106271,98833,92175,2480,2325,2400,1968,9173,82990,496,114,515,119,496,113,418,947,654,1140
NEW JERSEY,2004-05,68221,805732,12.1,114875,111479,104337,95891,88378,2871,2608,2389,2014,9882,,,,,,,,424,1006,630,1163
NEW JERSEY,2003-04,29623,747481,12.7,109077,108480,99843,90048,84539,,,,,,,,,,,,,431,1076,623,1079
NEW JERSEY,2002-03,28956,682928,12.8,107004,104310,95529,87262,82008,,,,,,,,,,,,,449,1051,653,1076
NEW JERSEY,2001-02,28172,609470,12.9,103611,98784,91065,83286,76271,,,,,,,,,,,,,,,,
NEW JERSEY,2000-01,27554,567666,13.3,99061,91799,84586,75715,70455,,,,,,,,,,,,,,,,
NEW JERSEY,1999-00,27226,521304,13.4,95883,89234,80654,73096,69647,,,,,,,,,,,,,,,,
NEW JERSEY,1998-99,26769,484942,13.8,92264,86450,78892,73985,68618,,,,,,,,,,,,,,,,
NEW JERSEY,1997-98,26383,463128,13.9,89671,86192,79314,72813,68008,,,,,,,,,,,,,,,,
NEW JERSEY,1996-97,26207,453868,,87642,87093,77752,71916,67460,,,,,,,,,,,,,,,,
NEW JERSEY,1995-96,26362,441835,,86706,84649,76042,70493,65647,,,,,,,,,,,,,,,,
NEW JERSEY,1994-95,26439,,,85258,83256,74858,68708,65662,,,,,,,,,,,,,,,,
NEW JERSEY,1993-94,26509,,,84564,81629,73124,69108,64402,,,,,,,,,,,,,,,,
NEW JERSEY,1992-93,26373,,,83057,81465,76142,70377,67353,,,,,,,,,,,,,,,,
NEW JERSEY,1991-92,26385,,,80515,80717,73572,70104,67395,,,,,,,,,,,,,,,,
NEW JERSEY,1990-91,26737,329110,,79886,77549,73713,70029,67716,,,,,,,,,,,,,,,,
NEW JERSEY,1989-90,27611,,,79597,78241,73767,70827,70438,,,,,,,,,,,,,,,,
NEW JERSEY,1988-89,28764,,,79698,79268,75851,75390,78033,,,,,,,,,,,,,,,,
NEW JERSEY,1987-88,29433,,,78335,81639,80864,83009,82653,,,,,,,,,,,,,,,,
NEW JERSEY,1986-87,28209,,,75558,87477,89290,88333,81896,,,,,,,,,,,,,,,,
NEW MEXICO,2013-14,8331.94,,15.25,22238.71,29729,25491,22363,20133,2229,2075,1484,1021,6809,2316,548,113,543,109,526,110,113,225,238,265
NEW MEXICO,2012-13,8338.85,,15.23,22200.73,29217,25711,21755,20559,1409,1547,1133,715,4804,2303,550,112,545,108,531,107,111,193,244,254
NEW MEXICO,2011-12,8182.44,,15.36,21956.68,29325,25734,22014,20671,1468,1491,1192,981,5132,2371,550,111,546,111,529,111,127,192,230,260
NEW MEXICO,2010-11,8562.98,,15.07,22437.43,29179,26451,22553,20594,1851,1717,1287,963,5818,2295,548,113,531,110,529,110,112,198,252,232
NEW MEXICO,2009-10,8657.05,435375,14.72,22723.73,29715,26763,22448,20150,1582,1559,1223,946,5310,2074,553,108,549,110,534,104,104,204,244,208
NEW MEXICO,2008-09,5127,,14.5,22825,30191,26530,22169,19940,1271,1197,982,676,4126,2209,553,106,546,108,534,103,135,189,231,231
NEW MEXICO,2007-08,6629,410375,14.8,22300,30031,26961,22736,19594,1464,1398,1245,902,5009,2336,557,109,548,109,540,105,109,200,241,229
NEW MEXICO,2006-07,6388,421428,14.9,22016,29895,26787,22118,19329,1412,1226,1096,767,4501,2308,555,110,546,112,540,108,120,204,226,216
NEW MEXICO,2005-06,6809,345844,14.8,22021,30026,26075,21986,19119,1633,1347,1181,745,4906,2549,557,109,549,107,543,106,142,192,242,202
NEW MEXICO,2004-05,4913,303922,15,21730,30134,26387,22163,19518,1574,1477,1253,788,5092,,,,,,,,134,186,229,208
NEW MEXICO,2003-04,4926,306623,15,21569,29840,25622,22067,19505,,,,,,,,,,,,,119,199,230,177
NEW MEXICO,2002-03,4936,292691,15.1,21172,28861,25863,22011,19002,,,,,,,,,,,,,127,200,215,164
NEW MEXICO,2001-02,4837,274209,14.7,21823,28816,25843,21907,18658,,,,,,,,,,,,,,,,
NEW MEXICO,2000-01,4777,246258,15.2,21042,28944,25476,21905,19102,,,,,,,,,,,,,,,,
NEW MEXICO,1999-00,4680,224500,16.4,19797,29307,25601,22054,18941,,,,,,,,,,,,,,,,
NEW MEXICO,1998-99,4705,228740,16.5,19981,29414,26245,21885,18724,,,,,,,,,,,,,,,,
NEW MEXICO,1997-98,4644,221777,16.9,19647,29843,26201,21956,18080,,,,,,,,,,,,,,,,
NEW MEXICO,1996-97,4599,216276,,19971,29906,25242,21061,17073,,,,,,,,,,,,,,,,
NEW MEXICO,1995-96,4518,232428,,19398,29164,24981,20195,17078,,,,,,,,,,,,,,,,
NEW MEXICO,1994-95,4342,,,19025,28547,23885,20114,16925,,,,,,,,,,,,,,,,
NEW MEXICO,1993-94,4564,,,18404,27115,23706,20180,16767,,,,,,,,,,,,,,,,
NEW MEXICO,1992-93,4473,,,17912,24285,21756,18037,16027,,,,,,,,,,,,,,,,
NEW MEXICO,1991-92,4382,,,17498,23314,20858,18271,15923,,,,,,,,,,,,,,,,
NEW MEXICO,1990-91,4291,152271,,16703,22366,20661,17938,15454,,,,,,,,,,,,,,,,
NEW MEXICO,1989-90,4302,,,16150,22253,20374,17684,15751,,,,,,,,,,,,,,,,
NEW MEXICO,1988-89,4320,,,15770,21872,20136,17765,16915,,,,,,,,,,,,,,,,
NEW MEXICO,1987-88,4386,,,15175,21818,20032,18435,16946,,,,,,,,,,,,,,,,
NEW MEXICO,1986-87,4400,,,14876,21820,20551,18563,16794,,,,,,,,,,,,,,,,
NEW YORK,2013-14,97054.73,,13.22,206692.51,223440,213861,192944,190081,7354,8222,6674,8931,31867,154809,488,114,502,120,478,116,915,2092,1842,2823
