State,Year,Secondary Teachers [State],Pupil/Teacher Ratio [State],Full-Time Equivalent (FTE) Teachers [State],Grade 9 Dropouts [State],Grade 10 Dropouts [State],Grade 11 Dropouts [State],Grade 12 Dropouts [State],Grades 9-12 Dropouts [State]
OREGON,1988-89,10052,,25147,,,,,
OREGON,1987-88,10193,,24911,,,,,
OREGON,1986-87,10049,,24615,,,,,
PENNSYLVANIA,2013-14,53270.37,14.47,121329.77,1643,3029,3268,4302,12271
PENNSYLVANIA,2012-13,54681.83,14.32,123146.79,2403,3255,3311,4409,13519
PENNSYLVANIA,2011-12,55684.17,14.21,124645.61,2984,3828,3775,4689,15288
PENNSYLVANIA,2010-11,58513.24,13.8,129911.39,–,–,4006,4536,–
PENNSYLVANIA,2009-10,59973,13.64,130983.79,2273,4109,4650,5130,16162
PENNSYLVANIA,2008-09,59464,13.7,129708,2620,4424,4761,5213,17018
PENNSYLVANIA,2007-08,63313,13.3,135234,2536,4497,4787,4960,16780
PENNSYLVANIA,2006-07,53175,15.2,123114,3398,4817,5110,5004,18329
PENNSYLVANIA,2005-06,52694,15,122397,3277,4610,5240,5226,18353
PENNSYLVANIA,2004-05,51750,15.1,121167,3333,4709,5786,5740,19568
PENNSYLVANIA,2003-04,50256,15.2,119889,,,,,
PENNSYLVANIA,2002-03,48548,15.4,118256,,,,,
PENNSYLVANIA,2001-02,48595,15.4,118470,,,,,
PENNSYLVANIA,2000-01,48018,15.5,116963,,,,,
PENNSYLVANIA,1999-00,47289,15.9,114525,,,,,
PENNSYLVANIA,1998-99,46530,16.4,111065,,,,,
PENNSYLVANIA,1997-98,45221,16.8,108014,,,,,
PENNSYLVANIA,1996-97,44851,,106432,,,,,
PENNSYLVANIA,1995-96,44455,,104921,,,,,
PENNSYLVANIA,1994-95,43798,,102988,,,,,
PENNSYLVANIA,1993-94,43358,,101301,,,,,
PENNSYLVANIA,1992-93,43691,,100912,,,,,
PENNSYLVANIA,1991-92,44975,,100475,,,,,
PENNSYLVANIA,1990-91,45556,,100275,,,,,
PENNSYLVANIA,1989-90,46698,,105415,,,,,
PENNSYLVANIA,1988-89,46988,,104379,,,,,
PENNSYLVANIA,1987-88,47305,,103307,,,,,
PENNSYLVANIA,1986-87,47861,,102993,,,,,
RHODE ISLAND,2013-14,4543.58,14.46,9824.05,573,613,509,471,2166
RHODE ISLAND,2012-13,4511.87,14.43,9871.31,577,581,476,452,2086
RHODE ISLAND,2011-12,5942,12.52,11414,681,700,644,534,2559
RHODE ISLAND,2010-11,5918.1,12.83,11211.8,783,821,715,516,2835
RHODE ISLAND,2009-10,5922.21,12.77,11366.23,525,520,532,418,1995
RHODE ISLAND,2008-09,5930,12.8,11316,586,552,546,315,1999
RHODE ISLAND,2007-08,5888,13.1,11271,400,473,475,291,1639
RHODE ISLAND,2006-07,5974,13.3,11381,495,551,472,364,1882
RHODE ISLAND,2005-06,6873,10.8,14180,547,531,475,371,1924
RHODE ISLAND,2004-05,2950,13.3,11781,651,576,516,469,2212
RHODE ISLAND,2003-04,2783,13.4,11918,,,,,
RHODE ISLAND,2002-03,4712,14.2,11196,,,,,
RHODE ISLAND,2001-02,4657,14.2,11103,,,,,
RHODE ISLAND,2000-01,4405,14.8,10645,,,,,
RHODE ISLAND,1999-00,4555,14.2,11041,,,,,
RHODE ISLAND,1998-99,4617,13.9,11124,,,,,
RHODE ISLAND,1997-98,4385,14.5,10598,,,,,
RHODE ISLAND,1996-97,4280,,10656,,,,,
RHODE ISLAND,1995-96,4477,,10482,,,,,
RHODE ISLAND,1994-95,4090,,10066,,,,,
RHODE ISLAND,1993-94,4103,,9823,,,,,
RHODE ISLAND,1992-93,4165,,10069,,,,,
RHODE ISLAND,1991-92,3960,,9709,,,,,
RHODE ISLAND,1990-91,3979,,9522,,,,,
RHODE ISLAND,1989-90,3820,,9369,,,,,
RHODE ISLAND,1988-89,3775,,9216,,,,,
RHODE ISLAND,1987-88,3761,,8934,,,,,
RHODE ISLAND,1986-87,3783,,8916,,,,,
SOUTH CAROLINA,2013-14,14302.7,15.49,48151.2,1691,1811,1547,1220,6269
SOUTH CAROLINA,2012-13,14432.3,15.31,48072.1,2072,1972,1717,1313,7074
SOUTH CAROLINA,2011-12,14204.9,15.54,46782.2,2334,2319,1893,1467,8013
SOUTH CAROLINA,2010-11,13495.3,16.05,45210.4,2708,2309,1817,1268,8102
SOUTH CAROLINA,2009-10,14057.6,15.39,46979.5,–,–,–,–,–
SOUTH CAROLINA,2008-09,14272,14.4,49941,2280,1892,1372,933,6477
SOUTH CAROLINA,2007-08,30757,15,47368,2434,1884,1346,1003,6667
SOUTH CAROLINA,2006-07,31882,14.4,49284,2259,1833,1212,927,6231
SOUTH CAROLINA,2005-06,13848,14.6,48212,2239,1822,1233,930,6224
SOUTH CAROLINA,2004-05,13431,15,46914,2243,1801,1175,870,6089
SOUTH CAROLINA,2003-04,13041,15.3,45830,,,,,
SOUTH CAROLINA,2002-03,13083,14.9,46529,,,,,
SOUTH CAROLINA,2001-02,13158,14.5,46616,,,,,
SOUTH CAROLINA,2000-01,12835,14.9,45380,,,,,
SOUTH CAROLINA,1999-00,13682,14.7,45468,,,,,
SOUTH CAROLINA,1998-99,13443,15.2,43689,,,,,
SOUTH CAROLINA,1997-98,13149,15.6,42336,,,,,
SOUTH CAROLINA,1996-97,13082,,41463,,,,,
SOUTH CAROLINA,1995-96,12800,,39922,,,,,
SOUTH CAROLINA,1994-95,12617,,39437,,,,,
SOUTH CAROLINA,1993-94,12368,,38620,,,,,
SOUTH CAROLINA,1992-93,11891,,37295,,,,,
SOUTH CAROLINA,1991-92,11899,,37115,,,,,
SOUTH CAROLINA,1990-91,12125,,36963,,,,,
SOUTH CAROLINA,1989-90,12303,,36337,,,,,
SOUTH CAROLINA,1988-89,12461,,35877,,,,,
SOUTH CAROLINA,1987-88,12563,,35701,,,,,
SOUTH CAROLINA,1986-87,12444,,35349,,,,,
SOUTH DAKOTA,2013-14,2518.32,13.76,9509.63,184,267,258,291,1000
SOUTH DAKOTA,2012-13,2504.88,13.98,9333.89,97,194,176,216,683
SOUTH DAKOTA,2011-12,2513.6,13.84,9246.78,161,243,211,256,871
SOUTH DAKOTA,2010-11,2572.83,13.26,9511.67,267,434,346,416,1463
SOUTH DAKOTA,2009-10,2565.89,13.27,9325.99,341,503,427,414,1685
SOUTH DAKOTA,2008-09,2553,13.7,9244,352,440,381,543,1716
SOUTH DAKOTA,2007-08,2533,12.9,9416,313,397,500,459,1669
SOUTH DAKOTA,2006-07,2547,13.4,9070,210,335,393,401,1339
SOUTH DAKOTA,2005-06,2547,13.4,9129,210,284,297,343,1134
SOUTH DAKOTA,2004-05,2533,13.5,9064,321,394,421,435,1571
SOUTH DAKOTA,2003-04,2605,13.6,9245,,,,,
SOUTH DAKOTA,2002-03,2604,14,9257,,,,,
SOUTH DAKOTA,2001-02,2646,13.6,9370,,,,,
SOUTH DAKOTA,2000-01,2650,13.7,9396,,,,,
SOUTH DAKOTA,1999-00,2630,14,9384,,,,,
SOUTH DAKOTA,1998-99,2994,14.3,9273,,,,,
SOUTH DAKOTA,1997-98,2846,15.3,9282,,,,,
SOUTH DAKOTA,1996-97,2700,,9625,,,,,
SOUTH DAKOTA,1995-96,2676,,9641,,,,,
SOUTH DAKOTA,1994-95,2738,,9985,,,,,
SOUTH DAKOTA,1993-94,2589,,9557,,,,,
SOUTH DAKOTA,1992-93,2371,,8767,,,,,
SOUTH DAKOTA,1991-92,2950,,8868,,,,,
SOUTH DAKOTA,1990-91,3023,,8511,,,,,
SOUTH DAKOTA,1989-90,3029,,8191,,,,,
SOUTH DAKOTA,1988-89,3082,,8260,,,,,
SOUTH DAKOTA,1987-88,3339,,8172,,,,,
SOUTH DAKOTA,1986-87,3281,,8031,,,,,
TENNESSEE,2013-14,18936.7,15.09,65847.2,1370,1579,1790,2843,7582
TENNESSEE,2012-13,19102.5,14.96,66406.23,1558,1815,2437,3276,9086
TENNESSEE,2011-12,19066.4,15.06,66381.7,2270,2380,2888,3662,11200
TENNESSEE,2010-11,19314.5,14.84,66558.1,1808,1796,2565,2947,9116
TENNESSEE,2009-10,18945.52,14.88,65360.69,1560,1645,2186,2429,7820
TENNESSEE,2008-09,18848,15,64926,1449,1602,1999,2261,7311
TENNESSEE,2007-08,18626,14.9,64659,1611,1882,2340,2601,8434
TENNESSEE,2006-07,18210,15.7,62176,1558,1674,2195,2652,8079
TENNESSEE,2005-06,16822,16,59596,1895,2032,2432,2996,9355
TENNESSEE,2004-05,16462,15.7,60022,2051,2357,2815,3276,10499
TENNESSEE,2003-04,16168,15.7,59584,,,,,
TENNESSEE,2002-03,15839,15.8,58652,,,,,
TENNESSEE,2001-02,15735,15.8,58357,,,,,
TENNESSEE,2000-01,15585,15.9,57164,,,,,
TENNESSEE,1999-00,15195,15.1,60702,,,,,
TENNESSEE,1998-99,14940,15.3,59258,,,,,
TENNESSEE,1997-98,14610,16.5,54142,,,,,
TENNESSEE,1996-97,13762,,54790,,,,,
TENNESSEE,1995-96,13939,,53403,,,,,
TENNESSEE,1994-95,12795,,47406,,,,,
TENNESSEE,1993-94,12398,,46066,,,,,
TENNESSEE,1992-93,11659,,43566,,,,,
TENNESSEE,1991-92,12523,,43062,,,,,
TENNESSEE,1990-91,12576,,43051,,,,,
TENNESSEE,1989-90,15845,,42824,,,,,
TENNESSEE,1988-89,16150,,42657,,,,,
TENNESSEE,1987-88,15620,,42082,,,,,
TENNESSEE,1986-87,15504,,41103,,,,,
TEXAS,2013-14,137971.11,15.4,334580.15,6945,8253,6824,14048,36070
TEXAS,2012-13,133053.08,15.51,327356.92,7627,9597,8016,16153,41393
TEXAS,2011-12,130424.41,15.42,324281.97,9358,11760,9688,20563,51369
TEXAS,2010-11,133218.39,14.73,334996.94,9682,11991,10173,18978,50824
TEXAS,2009-10,131239.32,14.56,333163.82,12642,13042,11250,16770,53697
TEXAS,2008-09,127161,14.5,327905,10041,11151,9846,12437,43475
TEXAS,2007-08,123974,14.5,321929,10243,11672,9664,11400,42979
TEXAS,2006-07,119809,14.8,311649,10426,11439,9664,10918,42447
TEXAS,2005-06,116750,15,302425,11125,11550,9224,11054,42953
TEXAS,2004-05,114796,15,294547,12115,12768,9943,12147,46973
TEXAS,2003-04,112426,15,289481,,,,,
TEXAS,2002-03,113006,14.8,288655,,,,,
TEXAS,2001-02,110911,14.7,282846,,,,,
TEXAS,2000-01,108539,14.8,274826,,,,,
TEXAS,1999-00,98495,14.9,267935,,,,,
TEXAS,1998-99,96352,15.2,259739,,,,,
TEXAS,1997-98,87379,15.3,254557,,,,,
TEXAS,1996-97,88160,,247650,,,,,
TEXAS,1995-96,88843,,240371,,,,,
TEXAS,1994-95,85987,,234213,,,,,
TEXAS,1993-94,82139,,224830,,,,,
TEXAS,1992-93,81100,,219385,,,,,
TEXAS,1991-92,102562,,219192,,,,,
TEXAS,1990-91,102669,,219298,,,,,
TEXAS,1989-90,93201,,199397,,,,,
TEXAS,1988-89,93074,,196616,,,,,
TEXAS,1987-88,86211,,187159,,,,,
TEXAS,1986-87,86808,,186385,,,,,
UTAH,2013-14,11219.31,22.96,27246.92,207,555,927,2444,4133
UTAH,2012-13,10642.48,23.05,26609.86,262,687,1260,2841,5050
UTAH,2011-12,10332.55,23.06,25969.65,599,1039,1899,3383,6920
UTAH,2010-11,10131.96,22.8,25676.71,153,339,736,3537,4765
UTAH,2009-10,9980.83,22.31,25615.06,337,770,1209,2687,4998
UTAH,2008-09,9563,23.7,23657,384,747,1152,3235,5518
UTAH,2007-08,9711,23.7,24336,384,747,1152,3235,5518
UTAH,2006-07,9642,22.1,23640,559,803,1259,2973,5594
UTAH,2005-06,9455,22.1,22993,542,878,1438,2503,5361
UTAH,2004-05,9199,22.6,22287,435,929,1516,2569,5449
UTAH,2003-04,8867,22.4,22147,,,,,
UTAH,2002-03,9007,21.8,22415,,,,,
UTAH,2001-02,9088,21.8,22211,,,,,
UTAH,2000-01,9027,21.9,22008,,,,,
UTAH,1999-00,8909,22,21832,,,,,
UTAH,1998-99,8782,22.4,21501,,,,,
UTAH,1997-98,8681,22.9,21115,,,,,
UTAH,1996-97,7958,,19734,,,,,
UTAH,1995-96,8390,,20039,,,,,
UTAH,1994-95,8056,,19524,,,,,
UTAH,1993-94,7780,,19053,,,,,
UTAH,1992-93,7133,,19191,,,,,
UTAH,1991-92,6564,,18305,,,,,
UTAH,1990-91,6446,,17884,,,,,
UTAH,1989-90,6258,,17611,,,,,
UTAH,1988-89,6350,,17602,,,,,
UTAH,1987-88,5916,,17124,,,,,
UTAH,1986-87,6410,,17752,,,,,
VERMONT,2013-14,3152.23,10.59,8375.35,76,180,215,250,721
VERMONT,2012-13,3185.62,10.67,8402.74,95,181,252,256,784
VERMONT,2011-12,3206.26,10.75,8363.69,–,–,–,–,–
VERMONT,2010-11,3305.88,11.56,8382.08,–,–,–,–,–
VERMONT,2009-10,3563.18,10.47,8733.88,–,37,24,28,–
VERMONT,2008-09,3551,10.7,8766,119,229,252,239,839
VERMONT,2007-08,3601,10.7,8749,128,236,274,263,901
VERMONT,2006-07,3614,10.8,8859,148,277,364,322,1111
VERMONT,2005-06,3542,10.9,8851,194,313,369,391,1267
VERMONT,2004-05,3580,11.3,8720,245,362,446,423,1476
VERMONT,2003-04,3554,11.3,8749,,,,,
VERMONT,2002-03,3115,11.7,8542,,,,,
VERMONT,2001-02,3053,11.8,8554,,,,,
VERMONT,2000-01,3086,12.1,8414,,,,,
VERMONT,1999-00,3280,12.3,8474,,,,,
VERMONT,1998-99,3160,12.8,8221,,,,,
VERMONT,1997-98,3066,13.4,7909,,,,,
VERMONT,1996-97,3024,,7751,,,,,
VERMONT,1995-96,2969,,7676,,,,,
VERMONT,1994-95,2952,,7566,,,,,
VERMONT,1993-94,2947,,7330,,,,,
VERMONT,1992-93,2820,,7521,,,,,
VERMONT,1991-92,2827,,7031,,,,,
VERMONT,1990-91,3119,,7257,,,,,
VERMONT,1989-90,3194,,6852,,,,,
VERMONT,1988-89,3194,,6852,,,,,
VERMONT,1987-88,2964,,6656,,,,,
VERMONT,1986-87,3488,,6397,,,,,
VIRGINIA,2013-14,48009.28,14.14,90097.56,1741,1857,1934,2467,7999
VIRGINIA,2012-13,47536.44,14.16,89388.63,2097,2173,2334,2848,9452
VIRGINIA,2011-12,48922.82,13.85,90831.79,2296,2256,2464,3119,10135
VIRGINIA,2010-11,36778.63,17.64,70947.13,2461,2206,2443,2873,9983
VIRGINIA,2009-10,35648.81,17.58,70827.39,2464,2315,2371,2848,9998
VIRGINIA,2008-09,36182,17.3,71415,2460,2124,1780,2625,8989
VIRGINIA,2007-08,36954,17.1,71861,2944,2486,2252,2351,10033
VIRGINIA,2006-07,40627,15.3,79688,2925,2762,2216,2473,10376
VIRGINIA,2005-06,64926,11.7,103944,2812,2304,2179,2540,9835
VIRGINIA,2004-05,53214,12.9,93732,3247,2888,2533,2747,11415
VIRGINIA,2003-04,50724,13.2,90573,,,,,
VIRGINIA,2002-03,67556,11.8,99919,,,,,
VIRGINIA,2001-02,37135,13,89314,,,,,
VIRGINIA,2000-01,36623,13.2,86977,,,,,
VIRGINIA,1999-00,36100,13.3,85037,,,,,
VIRGINIA,1998-99,31536,14.2,79323,,,,,
VIRGINIA,1997-98,30880,14.3,77575,,,,,
VIRGINIA,1996-97,28788,,74526,,,,,
VIRGINIA,1995-96,28506,,74731,,,,,
VIRGINIA,1994-95,28259,,72505,,,,,
VIRGINIA,1993-94,28015,,70859,,,,,
VIRGINIA,1992-93,26996,,68181,,,,,
VIRGINIA,1991-92,25852,,64537,,,,,
VIRGINIA,1990-91,25826,,63638,,,,,
VIRGINIA,1989-90,25191,,62138,,,,,
VIRGINIA,1988-89,25464,,60883,,,,,
VIRGINIA,1987-88,25525,,59928,,,,,
VIRGINIA,1986-87,25097,,58141,,,,,
WASHINGTON,2013-14,24060.46,19.3,54866.76,2881,2792,3472,4815,13960
WASHINGTON,2012-13,23574.79,19.59,53698.77,3075,3115,4046,5273,15509
WASHINGTON,2011-12,22933.94,19.68,53118.65,3423,3910,5206,6437,18976
WASHINGTON,2010-11,23489.84,19.35,53934.11,3303,3555,4586,5501,16945
WASHINGTON,2009-10,22851.53,19.37,53447.82,3870,3685,5356,5516,18427
WASHINGTON,2008-09,22372,19.1,54428,3437,3225,3822,4157,14641
WASHINGTON,2007-08,22264,19.1,53960,4444,4493,5168,6875,20980
WASHINGTON,2006-07,22181,19.1,53743,5096,4326,4653,5646,19721
WASHINGTON,2005-06,22224,19.3,53508,5355,4957,5146,6641,22099
WASHINGTON,2004-05,21964,19.2,53125,–,–,–,–,†
WASHINGTON,2003-04,21569,19.3,52824,,,,,
WASHINGTON,2002-03,21471,19.2,52953,,,,,
WASHINGTON,2001-02,21078,19.2,52534,,,,,
WASHINGTON,2000-01,20426,19.7,51098,,,,,
WASHINGTON,1999-00,20424,19.9,50368,,,,,
WASHINGTON,1998-99,20325,20.1,49671,,,,,
WASHINGTON,1997-98,19937,20.2,49074,,,,,
WASHINGTON,1996-97,19289,,48307,,,,,
WASHINGTON,1995-96,18501,,46907,,,,,
WASHINGTON,1994-95,18247,,46439,,,,,
WASHINGTON,1993-94,17533,,45524,,,,,
WASHINGTON,1992-93,16820,,44295,,,,,
WASHINGTON,1991-92,16357,,42931,,,,,
WASHINGTON,1990-91,16168,,41764,,,,,
WASHINGTON,1989-90,15391,,40279,,,,,
WASHINGTON,1988-89,15745,,38780,,,,,
WASHINGTON,1987-88,16005,,38344,,,,,
WASHINGTON,1986-87,15719,,37065,,,,,
WEST VIRGINIA,2013-14,10586.25,14.06,19978.02,809,848,839,798,3294
WEST VIRGINIA,2012-13,10668.35,14.08,20101.15,875,908,896,765,3444
WEST VIRGINIA,2011-12,10764.94,13.97,20247.47,930,927,959,864,3680
WEST VIRGINIA,2010-11,10829.93,13.91,20338.46,838,865,896,736,3335
WEST VIRGINIA,2009-10,10824.72,13.93,20298.84,789,837,873,749,3248
WEST VIRGINIA,2008-09,10757,14,20209,826,923,846,782,3377
WEST VIRGINIA,2007-08,10813,13.9,20306,868,926,967,809,3570
WEST VIRGINIA,2006-07,7788,14.4,19633,742,885,791,637,3055
WEST VIRGINIA,2005-06,6737,14.1,19940,760,814,821,697,3092
WEST VIRGINIA,2004-05,6702,14,19958,831,1044,903,792,3570
WEST VIRGINIA,2003-04,6729,14,20020,,,,,
WEST VIRGINIA,2002-03,6801,14,20119,,,,,
WEST VIRGINIA,2001-02,6759,14,20139,,,,,
WEST VIRGINIA,2000-01,6905,13.7,20930,,,,,
WEST VIRGINIA,1999-00,7016,13.8,21082,,,,,
WEST VIRGINIA,1998-99,7072,14.2,20989,,,,,
WEST VIRGINIA,1997-98,7065,14.4,20947,,,,,
WEST VIRGINIA,1996-97,7087,,20888,,,,,
WEST VIRGINIA,1995-96,6788,,21073,,,,,
WEST VIRGINIA,1994-95,7244,,21024,,,,,
WEST VIRGINIA,1993-94,7394,,21029,,,,,
WEST VIRGINIA,1992-93,7495,,20961,,,,,
WEST VIRGINIA,1991-92,7448,,20997,,,,,
WEST VIRGINIA,1990-91,7760,,21476,,,,,
WEST VIRGINIA,1989-90,7741,,21653,,,,,
WEST VIRGINIA,1988-89,8104,,22177,,,,,
WEST VIRGINIA,1987-88,7985,,22702,,,,,
WEST VIRGINIA,1986-87,8460,,22931,,,,,
WISCONSIN,2013-14,28496.2,15.08,57980.2,971,611,1222,3260,6064
WISCONSIN,2012-13,28543.23,15.16,57550.78,944,610,1414,3444,6412
WISCONSIN,2011-12,28208.83,15.49,56244.93,997,678,1444,3540,6659
WISCONSIN,2010-11,28949,15.14,57625.42,1004,802,1311,3323,6440
WISCONSIN,2009-10,29961.74,14.93,58425.7,1061,912,1156,3142,6271
WISCONSIN,2008-09,30660,14.7,59401,1168,768,1150,3761,6847
WISCONSIN,2007-08,30763,14.8,58914,†,†,†,†,†
WISCONSIN,2006-07,31003,14.8,59089,1379,922,1121,2264,5686
WISCONSIN,2005-06,19391,14.6,60127,1218,970,1085,2260,5533
WISCONSIN,2004-05,19424,14.3,60521,1280,1058,1182,2482,6002
WISCONSIN,2003-04,18770,15.1,58216,,,,,
WISCONSIN,2002-03,18602,14.6,60385,,,,,
WISCONSIN,2001-02,18420,13.9,63310,,,,,
WISCONSIN,2000-01,18207,14.6,60165,,,,,
WISCONSIN,1999-00,18079,14.4,60778,,,,,
WISCONSIN,1998-99,17971,14.4,61176,,,,,
WISCONSIN,1997-98,17731,15.8,55732,,,,,
WISCONSIN,1996-97,17257,,54769,,,,,
WISCONSIN,1995-96,17015,,55033,,,,,
WISCONSIN,1994-95,16819,,54054,,,,,
WISCONSIN,1993-94,17237,,52822,,,,,
WISCONSIN,1992-93,18801,,53387,,,,,
WISCONSIN,1991-92,18550,,52028,,,,,
WISCONSIN,1990-91,17890,,49302,,,,,
WISCONSIN,1989-90,17870,,49329,,,,,
WISCONSIN,1988-89,17638,,48541,,,,,
WISCONSIN,1987-88,16854,,47721,,,,,
WISCONSIN,1986-87,17277,,47039,,,,,
WYOMING,2013-14,3476.92,12.27,7555.19,215,516,389,460,1580
WYOMING,2012-13,3397.25,12.45,7349.54,44,105,61,77,287
WYOMING,2011-12,3385.49,11.48,7846.91,126,434,384,422,1366
WYOMING,2010-11,3360.49,12.49,7127.45,126,421,393,438,1378
WYOMING,2009-10,3431.29,12.3,7165.53,238,424,458,427,1546
WYOMING,2008-09,3354,12.5,7000,196,320,369,419,1304
WYOMING,2007-08,3364,12.5,6915,170,269,386,437,1262
WYOMING,2006-07,3437,12.6,6737,132,274,429,439,1274
WYOMING,2005-06,3393,12.6,6706,185,459,538,500,1682
WYOMING,2004-05,3402,12.7,6657,234,498,592,576,1900
WYOMING,2003-04,3401,13.3,6567,,,,,
WYOMING,2002-03,3463,13,6799,,,,,
WYOMING,2001-02,3434,13.2,6663,,,,,
WYOMING,2000-01,3490,13.3,6783,,,,,
WYOMING,1999-00,3532,13.3,6940,,,,,
WYOMING,1998-99,3474,14.2,6713,,,,,
WYOMING,1997-98,3427,14.5,6677,,,,,
WYOMING,1996-97,3416,,6729,,,,,
WYOMING,1995-96,3391,,6734,,,,,
WYOMING,1994-95,3423,,6754,,,,,
WYOMING,1993-94,3322,,6537,,,,,
WYOMING,1992-93,2937,,5821,,,,,
WYOMING,1991-92,3134,,6564,,,,,
WYOMING,1990-91,3460,,6784,,,,,
WYOMING,1989-90,3421,,6697,,,,,
WYOMING,1988-89,3437,,6693,,,,,
WYOMING,1987-88,3491,,6798,,,,,
WYOMING,1986-87,2124,,7201,,,,,
