,,2012-13 (REVISED),,,,CLASSROOM TEACHERS 2012?13,,,,,OTHER NON-SUPERVISORY,,TOTAL,2012-13 AVERAGE SALARY FOR CLASSROOM TEACHERS,,,ALL TEACHERS % CHANGE VERSUS,TOTAL CURRENT EXPENDITURES FOR PUBLIC,,,CURRENT,CAPITAL,INTEREST ON,,,
,,FALL ENROLLMENT,,,ELEMENTARY SCHOOL,,,SECONDARY SCHOOL,,TOTAL,INSTRUC-,PRINCIPALS &,INSTRUC-,INSTR.,ELEM.,SEC.,2011-12,ELEMENTARY AND SECONDARY DAY SCHOOLS,PER STUDENT ,PER STUDENT ,EXPENDITURES,OUTLAY,SCHOOL DEBT,,,
REGION AND STATE,ELEMENTARY,SECONDARY,TOTAL,MEN,WOMEN,TOTAL,MEN,WOMEN,TOTAL,TEACHERS,TIONAL,SUPERVISORS,TIONAL STAFF,STAFF,,, (CURRENT $),AMOUNT ('000s),IN ADA,IN ENR,OTHER PROGRAMS,('000s),('000s),,,
KENTUCKY,"463,601 *","198,744","662,345 *","4,166","25,747","29,913","4,977","7,132","12,109","42,022","3,514","2,676","48,212","52,498","50,160","50,735",1.2,"6,551,319","10,257 *","9,891 *","63,380","545,542","181,286",,,
LOUISIANA,"522,402 *","185,869","708,272 *","3,609 *","31,861 *","35,470 *","5,800 *","9,938 *","15,738 *","51,209 *","5,315 *","5,161","61,685 *","53,960","51,381","51,381",2.39,"7,302,349 *","10,955 *","10,310 *","29,695 *","1,063,759 *","122,819",,,
MISSISSIPPI,"305,448 *","183,826","489,274 *","1,467 *","18,314 *","19,781 *","4,574 *","9,306 *","13,880 *","33,661 *","2,055 *","2,392","38,108 *","45,519","41,994","41,994",0.84,"4,612,173 *","10,283 *","9,427 *","11,076 *",0*,"74,910",,,
NORTH CAROLINA,"1,010,353","425,158","1,435,511","9,198","57,125","66,323","9,777","16,962","26,739","93,062","7,913","6,605","107,580","45,947","45,947","45,947",0,"12,105,598","8,878 *","8,433 *",0,"480,806",0,,,
SOUTH CAROLINA,"510,099","213,859","723,958","3,631 *","29,643 *","33,274 *","5,137 *","9,236 *","14,374 *","47,648 *","4,506","4,299","56,453","50,598","47,924","47,924",1.05,"6,441,807","9,607 *","8,898 *","96,625","986,476","440,550",,,
TENNESSEE,"687,449 *","292,357","979,806 *","6,138 *","40,077 *","46,216 *","8,113 *","11,788 *","19,901 *","66,117 *","8,996 *","3,817","78,930 *","50,607","48,289","48,289",2.56,"8,519,030 *","9,291 *","8,695 *","182,636 *","83,700 *","266,373",,,
VIRGINIA,"790,253 *","477,373","1,267,627 *","5,461 *","56,592 *","62,053 *","12,682 *","29,035 *","41,717 *","103,770 *","13,284 *","4,533","121,587 *","51,785","49,869","49,869",2.39,"14,522,578 *","12,418 *","11,457 *","933,617 *","939,897 *","653,408",,,
WEST VIRGINIA,"199,401 *","82,818","282,219 *","2,261 *","12,112 *","14,373 *","2,310 *","3,158 *","5,468 *","19,840 *","1,290 *","1,518","22,649 *","48,507","46,405","46,405",2.39,"3,419,263 *","11,006 *","12,116 *","46,966 *","192,443 *","525,971",,,
GREAT LAKES,"4,914,216","2,493,255","7,407,471","50,009","236,786","286,796","59,469","95,441","154,910","441,705","38,717","30,599","511,022","59,040","57,791","57,598",1.88,"89,153,565","12,589","12,048","1,173,455","3,453,992","2,529,838",,,
ILLINOIS,"1,453,127 *","630,868","2,083,996 *","14,723 *","82,173 *","96,896 *","15,514 *","18,324 *","33,838 *","130,733 *","5,893 *","8,530","145,156 *","59,113","59,113","59,113",2.56,"26,939,240 *","13,356 *","12,927 *","476,822 *","2,030,094 *","935,916",,,
INDIANA,"566,938","475,080","1,042,018","5,587 *","29,033 *","34,620 *","11,904 *","17,063 *","28,967 *","63,587","3,206 *","5,993","72,785","51,484","51,456","51,456",1.86,"11,596,959 *","11,500 *","11,129 *","54,777 *","809,795 *","1,276,297",,,
MICHIGAN,"1,043,147","500,426","1,543,573","11,328 *","35,268 *","46,596 *","9,115 *","28,381 *","37,496 *","84,092","8,079","5,792","97,963","61,560","61,560","61,560",0,"21,125,306 *","13,979 *","13,686 *","281,800 *",0*,"63,073",,,
OHIO,"1,243,856 *","623,726","1,867,582 *","11,240 *","57,388 *","68,629 *","15,369 *","22,495 *","37,864 *","106,493 *","18,108 *","7,818","132,419 *","61,266","58,092","58,092",2.43,"18,565,446 *","11,313 *","9,941 *",0*,0*,0,,,
WISCONSIN,"607,148 *","263,154","870,302 *","7,132 *","32,923 *","40,055 *","7,567 *","9,178 *","16,745 *","56,800 *","3,431 *","2,467","62,698 *","58,999","55,171","55,171",2.56,"10,926,614 *","12,798 *","12,555 *","360,056 *","614,103 *","254,552",,,
PLAINS,"2,002,750","1,259,568","3,262,319","18,310","118,034","136,344","43,043","59,971","103,014","239,358","16,800","11,588","267,746","52,693","49,757","50,078",2.16,"33,329,179","10,840","9,806","858,519","4,843,799","1,247,852",,,
IOWA,"281,518 *","218,519","500,037 *","3,573 *","19,507 *","23,079 *","4,988 *","6,428 *","11,416 *","34,495 *","4,408 *","1,451","40,354 *","53,886","51,528","51,528",2.56,"4,705,660","10,503 *","9,411 *","42,496","922,372","101,997",,,
KANSAS,"341,530 *","144,750","486,281 *","2,103 *","15,402 *","17,505 *","9,494 *","8,089 *","17,583 *","35,088 *","2,189 *","2,212","39,489 *","48,759","47,464","47,464",1.6,"4,711,613 *","11,052 *","9,689 *",0*,"917,721 *","216,695",,,
MINNESOTA,"389,458 *","453,859","843,318 *","4,892 *","21,992 *","26,883 *","10,715 *","15,291 *","26,006 *","52,889 *","2,682 *","2,033","57,604 *","61,307","56,268","56,268",2.38,"9,809,355 *","12,820 *","11,632 *","509,028 *","1,801,532 *","485,223",,,
MISSOURI,"618,322 *","288,489","906,811 *","2,877 *","32,225 *","35,102 *","11,858 *","21,761 *","33,619 *","68,722 *","4,223 *","4,017","76,961 *","51,228","47,517","47,517",2.39,"9,152,005 *","10,872 *","10,093 *","205,780 *","755,007 *","330,180",,,
NEBRASKA,"215,424","87,818","303,242","2,900","18,749","21,649","3,833","5,447","9,280","30,929","1,826","1,072","33,827","48,931","48,931","48,931",1.61,"2,917,392 *","10,494 *","9,621 *","12,308 *","168,560 *","70,385",,,
NORTH DAKOTA,"66,561","29,271","95,832",931 *,"4,737 *","5,668 *","1,056 *","1,392 *","2,448 *","8,116",880,404,"9,400","49,159","47,344","47,344",2.79,"847,971","10,095 *","8,849 *","85,973","87,327","13,500",,,
SOUTH DAKOTA,"89,937","36,861","126,798","1,035","5,423","6,458","1,099","1,563","2,662","9,120",593,399,"10,112","41,264","39,609","39,512",2,"1,185,183 *","10,047 *","9,347 *","2,934 *","191,279 *","29,871",,,
SOUTHWEST,"4,281,112","2,840,931","7,122,043","29,857","219,229","249,086","71,685","117,182","188,867","437,953","26,695","28,258","492,906","50,177","47,521","48,406",-0.03,"56,404,122","8,813","8,428","376,292","8,661,341","4,516,175",,,
